name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,new_column,total_sales
Driver: San Francisco,PC,2011,Racing,0.05,0.1,0.0,0.03,80.0,7.0,T,Driver: San Francisco_PC_Racing_2011,0.18000000000000002
Just Dance 2017,Wii,2016,Misc,0.06,0.11,0.0,0.01,,,E10+,Just Dance 2017_Wii_Misc_2016,0.18
NASCAR Unleashed,Wii,2011,Racing,0.17,0.0,0.0,0.01,,,E,NASCAR Unleashed_Wii_Racing_2011,0.18000000000000002
Super Robot Taisen J,GBA,2005,Strategy,0.0,0.0,0.18,0.0,,,,Super Robot Taisen J_GBA_Strategy_2005,0.18
Shape Up,XOne,2014,Misc,0.08,0.09,0.0,0.01,58.0,8.3,E,Shape Up_XOne_Misc_2014,0.18
Nep League DS,DS,2007,Sports,0.0,0.0,0.18,0.0,,,,Nep League DS_DS_Sports_2007,0.18
Happy Cooking,DS,2006,Simulation,0.17,0.0,0.0,0.01,,,E,Happy Cooking_DS_Simulation_2006,0.18000000000000002
Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,0.04,0.03,0.11,0.01,,,,Ar tonelico 2: Melody of Metafalica_PS2_Role-Playing_2007,0.19
Cars: Race-O-Rama,PS3,2009,Racing,0.14,0.03,0.0,0.02,61.0,,E,Cars: Race-O-Rama_PS3_Racing_2009,0.19
Jewel Master: Cradle of Athena,DS,2010,Puzzle,0.17,0.0,0.0,0.01,,,E10+,Jewel Master: Cradle of Athena_DS_Puzzle_2010,0.18000000000000002
Saw II: Flesh & Blood,PS3,2010,Action,0.1,0.06,0.0,0.02,,,,Saw II: Flesh & Blood_PS3_Action_2010,0.18
Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,0.06,0.11,0.0,0.02,,,E10+,Hidden Mysteries: Vampire Secrets_DS_Adventure_2010,0.18999999999999997
Casper: Friends Around the World,PS,2000,Action,0.1,0.07,0.0,0.01,,,,Casper: Friends Around the World_PS_Action_2000,0.18000000000000002
Jurassic Park III: Island Attack,GBA,2001,Adventure,0.13,0.05,0.0,0.0,57.0,,E,Jurassic Park III: Island Attack_GBA_Adventure_2001,0.18
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,0.0,0.0,0.18,0.0,,,,Jikkyou Powerful Pro Baseball 2016_PSV_Sports_2016,0.18
Tekken Tag Tournament 2,WiiU,2012,Fighting,0.09,0.07,0.01,0.01,,,,Tekken Tag Tournament 2_WiiU_Fighting_2012,0.18000000000000002
GameBoy Wars,GB,1991,Strategy,0.0,0.0,0.18,0.0,,,,GameBoy Wars_GB_Strategy_1991,0.18
Amplitude,PS2,2003,Misc,0.09,0.07,0.0,0.02,86.0,8.8,T,Amplitude_PS2_Misc_2003,0.18
Disgaea DS,DS,2008,Role-Playing,0.11,0.01,0.05,0.01,82.0,7.5,T,Disgaea DS_DS_Role-Playing_2008,0.18
Gauntlet: Seven Sorrows,XB,2005,Role-Playing,0.14,0.04,0.0,0.01,61.0,7.8,T,Gauntlet: Seven Sorrows_XB_Role-Playing_2005,0.19000000000000003
AirForce Delta Storm,XB,2001,Shooter,0.14,0.04,0.0,0.01,61.0,7.1,E,AirForce Delta Storm_XB_Shooter_2001,0.19000000000000003
Metal Gear Solid V: The Phantom Pain,X360,2015,Action,0.12,0.04,0.0,0.02,,7.2,M,Metal Gear Solid V: The Phantom Pain_X360_Action_2015,0.18
Monopoly Party,XB,2002,Misc,0.14,0.04,0.0,0.01,,,,Monopoly Party_XB_Misc_2002,0.19000000000000003
Fear Effect 2: Retro Helix,PS,2001,Action,0.1,0.07,0.0,0.01,84.0,8.9,M,Fear Effect 2: Retro Helix_PS_Action_2001,0.18000000000000002
Chaotic: Shadow Warriors,DS,2009,Action,0.17,0.0,0.0,0.01,,,E10+,Chaotic: Shadow Warriors_DS_Action_2009,0.18000000000000002
Ninja Gaiden 3,WiiU,2012,Action,0.14,0.03,0.0,0.02,,,,Ninja Gaiden 3_WiiU_Action_2012,0.19
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,0.06,0.02,0.08,0.02,76.0,7.7,E10+,Atelier Shallie: Alchemists of the Dusk Sea_PS3_Role-Playing_2014,0.18
Mahjong: Journey Quest for Tikal,DS,2008,Puzzle,0.15,0.02,0.0,0.01,,,E,Mahjong: Journey Quest for Tikal_DS_Puzzle_2008,0.18
Call of Duty: World at War,PC,2008,Shooter,0.02,0.14,0.0,0.03,83.0,7.5,M,Call of Duty: World at War_PC_Shooter_2008,0.19
CSI: Fatal Conspiracy,PS3,2010,Adventure,0.11,0.05,0.0,0.02,39.0,5.6,M,CSI: Fatal Conspiracy_PS3_Adventure_2010,0.18
Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,0.0,0.0,0.18,0.0,,,,Chocobo no Fushigi Dungeon for WonderSwan_WS_Role-Playing_1999,0.18
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,0.0,0.0,0.18,0.0,,,,International Superstar Soccer 2000 (JP weekly sales)_N64_Sports_1999,0.18
Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,0.17,0.0,0.0,0.01,,,,Ringling Bros. and Barnum & Bailey Circus_Wii_Action_2009,0.18000000000000002
Klonoa: Door to Phantomile,PS,1997,Platform,0.0,0.0,0.17,0.01,,,,Klonoa: Door to Phantomile_PS_Platform_1997,0.18000000000000002
Vietcong: Purple Haze,PS2,2004,Shooter,0.09,0.07,0.0,0.02,48.0,4.3,M,Vietcong: Purple Haze_PS2_Shooter_2004,0.18
Atari Anniversary Advance,GBA,2002,Misc,0.13,0.05,0.0,0.0,75.0,,E,Atari Anniversary Advance_GBA_Misc_2002,0.18
Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,0.0,0.0,0.0,0.18,,,E,Summer Athletics: The Ultimate Challenge_PS2_Sports_2008,0.18
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,0.0,0.0,0.18,0.0,,,,Hatsune Miku and Future Stars: Project Mirai_3DS_Misc_2012,0.18
X-Men Origins: Wolverine,PS2,2009,Action,0.13,0.0,0.0,0.05,,6.8,T,X-Men Origins: Wolverine_PS2_Action_2009,0.18
Syndicate,X360,2012,Shooter,0.1,0.06,0.0,0.02,74.0,7.1,M,Syndicate_X360_Shooter_2012,0.18
Zumba Fitness Rush,X360,2012,Sports,0.0,0.16,0.0,0.02,73.0,6.2,E10+,Zumba Fitness Rush_X360_Sports_2012,0.18
Call of Juarez,X360,2007,Shooter,0.14,0.02,0.0,0.01,71.0,6.9,M,Call of Juarez_X360_Shooter_2007,0.17
TalkMan (Japan),PSP,2005,Misc,0.0,0.0,0.18,0.0,,,,TalkMan (Japan)_PSP_Misc_2005,0.18
Ghostbusters: The Video Game,PSP,2009,Action,0.16,0.01,0.0,0.02,54.0,4.7,E10+,Ghostbusters: The Video Game_PSP_Action_2009,0.19
Bloody Roar: Primal Fury,GC,2002,Fighting,0.14,0.04,0.0,0.0,75.0,8.5,T,Bloody Roar: Primal Fury_GC_Fighting_2002,0.18000000000000002
Mega Man Soccer,SNES,1993,Sports,0.04,0.01,0.13,0.0,,,,Mega Man Soccer_SNES_Sports_1993,0.18
MotoGP,Wii,2009,Racing,0.05,0.11,0.0,0.02,44.0,5.4,E,MotoGP_Wii_Racing_2009,0.18
Mushroom Men: The Spore Wars,Wii,2008,Action,0.16,0.01,0.0,0.01,72.0,8.7,E10+,Mushroom Men: The Spore Wars_Wii_Action_2008,0.18000000000000002
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,0.0,0.12,0.04,0.02,59.0,7.8,T,Saint Seiya: Soldiers' Soul_PS4_Fighting_2015,0.18
Brunswick Pro Bowling,PS3,2010,Sports,0.1,0.05,0.0,0.02,47.0,,E,Brunswick Pro Bowling_PS3_Sports_2010,0.17
LEGO Harry Potter: Years 5-7,PSV,2012,Action,0.07,0.07,0.0,0.03,64.0,6.8,E10+,LEGO Harry Potter: Years 5-7_PSV_Action_2012,0.17
FIFA Soccer 07,GC,2006,Sports,0.14,0.04,0.0,0.0,,,,FIFA Soccer 07_GC_Sports_2006,0.18000000000000002
Rabbids Party Collection,Wii,2010,Misc,0.0,0.16,0.0,0.02,,,,Rabbids Party Collection_Wii_Misc_2010,0.18
Corpse Party: Blood Drive,PSV,2014,Adventure,0.08,0.01,0.06,0.03,60.0,7.4,M,Corpse Party: Blood Drive_PSV_Adventure_2014,0.18
The Last Airbender,DS,2010,Action,0.13,0.04,0.0,0.01,69.0,7.0,E10+,The Last Airbender_DS_Action_2010,0.18000000000000002
My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,0.13,0.03,0.0,0.01,,,,My Fitness Coach 2: Exercise and Nutrition_Wii_Sports_2009,0.17
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,0.13,0.05,0.0,0.0,,,,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video_GBA_Misc_2004,0.18
Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,0.0,0.0,0.18,0.0,,,,Vampire Savior: The Lord of Vampire_SAT_Fighting_1998,0.18
UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,0.11,0.06,0.0,0.02,54.0,,E,UFC Personal Trainer: The Ultimate Fitness System_Wii_Sports_2011,0.18999999999999997
MotoGP 14 ,PS4,2014,Racing,0.04,0.11,0.0,0.03,73.0,6.4,E,MotoGP 14 _PS4_Racing_2014,0.18
Shrek SuperSlam,DS,2005,Action,0.17,0.0,0.0,0.01,,,,Shrek SuperSlam_DS_Action_2005,0.18000000000000002
Alone in the Dark,Wii,2008,Adventure,0.09,0.08,0.0,0.02,39.0,4.4,M,Alone in the Dark_Wii_Adventure_2008,0.18999999999999997
Super Robot Taisen UX,3DS,2013,Role-Playing,0.0,0.0,0.18,0.0,,,,Super Robot Taisen UX_3DS_Role-Playing_2013,0.18
Skylanders Imaginators,WiiU,2016,Platform,0.09,0.08,0.0,0.02,76.0,,E10+,Skylanders Imaginators_WiiU_Platform_2016,0.18999999999999997
Six Flags Fun Park,DS,2008,Misc,0.17,0.0,0.0,0.01,34.0,7.0,E,Six Flags Fun Park_DS_Misc_2008,0.18000000000000002
Test Drive Off-Road Wide Open,XB,2001,Racing,0.15,0.03,0.0,0.01,64.0,8.3,E,Test Drive Off-Road Wide Open_XB_Racing_2001,0.19
Jeopardy!,DS,2010,Misc,0.17,0.0,0.0,0.01,,,,Jeopardy!_DS_Misc_2010,0.18000000000000002
Pro Yaky? Spirits 2011,PS3,2011,Sports,0.0,0.0,0.18,0.0,,,,Pro Yaky? Spirits 2011_PS3_Sports_2011,0.18
Doctor Who: Return to Earth,Wii,2010,Adventure,0.0,0.16,0.0,0.02,,,,Doctor Who: Return to Earth_Wii_Adventure_2010,0.18
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,0.0,0.0,0.18,0.0,,,,Battle Commander: Hachibushu Shura no Heihou_SNES_Strategy_1991,0.18
WWE All Stars,PSP,2011,Fighting,0.12,0.04,0.0,0.03,70.0,6.6,T,WWE All Stars_PSP_Fighting_2011,0.19
Jampack Vol. 1,PS,1996,Misc,0.1,0.07,0.0,0.01,,,,Jampack Vol. 1_PS_Misc_1996,0.18000000000000002
Bad Boys: Miami Takedown,XB,2004,Shooter,0.14,0.04,0.0,0.01,35.0,5.9,M,Bad Boys: Miami Takedown_XB_Shooter_2004,0.19000000000000003
Valhalla Knights 3,PSV,2013,Role-Playing,0.04,0.01,0.12,0.01,48.0,6.8,M,Valhalla Knights 3_PSV_Role-Playing_2013,0.18
Mega Man X: Command Mission,PS2,2004,Role-Playing,0.09,0.07,0.0,0.02,69.0,7.1,E,Mega Man X: Command Mission_PS2_Role-Playing_2004,0.18
Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,0.09,0.07,0.0,0.02,59.0,8.6,E,Tokyo Xtreme Racer DRIFT_PS2_Racing_2003,0.18
Moon,PS,1997,Adventure,0.0,0.0,0.17,0.01,,,,Moon_PS_Adventure_1997,0.18000000000000002
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Action,0.15,0.01,0.0,0.01,65.0,7.5,E10+,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe_DS_Action_2005",0.17
Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,0.13,0.04,0.0,0.01,65.0,8.3,T,Cabela's Big Game Hunter 2005 Adventures_XB_Sports_2004,0.18000000000000002
Re-Volt,N64,1999,Racing,0.14,0.04,0.0,0.0,,,,Re-Volt_N64_Racing_1999,0.18000000000000002
Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,0.14,0.04,0.0,0.0,,,,Sesame Street: Elmo's Letter Adventure_N64_Misc_1999,0.18000000000000002
Senran Kagura: Estival Versus,PSV,2015,Action,0.04,0.02,0.09,0.02,71.0,7.4,M,Senran Kagura: Estival Versus_PSV_Action_2015,0.16999999999999998
Might & Magic: Clash of Heroes,DS,2009,Role-Playing,0.15,0.02,0.0,0.01,,,,Might & Magic: Clash of Heroes_DS_Role-Playing_2009,0.18
GRID Autosport,PS3,2014,Racing,0.05,0.09,0.01,0.03,75.0,6.8,E,GRID Autosport_PS3_Racing_2014,0.18000000000000002
Gokujou Parodius,SNES,1994,Shooter,0.0,0.0,0.18,0.0,,,,Gokujou Parodius_SNES_Shooter_1994,0.18
Half-Minute Hero,PSP,2009,Role-Playing,0.08,0.01,0.07,0.01,84.0,7.8,E10+,Half-Minute Hero_PSP_Role-Playing_2009,0.17
Gauntlet: Dark Legacy,GC,2002,Action,0.14,0.04,0.0,0.0,60.0,9.1,T,Gauntlet: Dark Legacy_GC_Action_2002,0.18000000000000002
A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,0.0,0.0,0.18,0.0,,,,A.C.E.: Another Century's Episode 2_PS2_Simulation_2006,0.18
The Chronicles of Narnia: Prince Caspian,X360,2008,Action,0.16,0.01,0.0,0.01,56.0,7.5,T,The Chronicles of Narnia: Prince Caspian_X360_Action_2008,0.18000000000000002
Company of Heroes: Anthology,PC,2009,Strategy,0.0,0.15,0.0,0.03,,,,Company of Heroes: Anthology_PC_Strategy_2009,0.18
Shadow The Hedgehog,XB,2005,Platform,0.13,0.04,0.0,0.01,49.0,5.5,E10+,Shadow The Hedgehog_XB_Platform_2005,0.18000000000000002
Daigasso! Band Brothers P,3DS,2013,Misc,0.0,0.0,0.18,0.0,,,,Daigasso! Band Brothers P_3DS_Misc_2013,0.18
Batman: Vengeance,GBA,2001,Adventure,0.13,0.05,0.0,0.0,68.0,,E,Batman: Vengeance_GBA_Adventure_2001,0.18
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000,Sports,0.0,0.0,0.18,0.0,,,,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou_DC_Sports_2000,0.18
The Adventures of Cookie & Cream,PS2,2000,Puzzle,0.09,0.07,0.0,0.02,,,,The Adventures of Cookie & Cream_PS2_Puzzle_2000,0.18
World of Outlaws: Sprint Cars,X360,2010,Racing,0.17,0.0,0.0,0.01,57.0,8.1,E,World of Outlaws: Sprint Cars_X360_Racing_2010,0.18000000000000002
Van Helsing,XB,2007,Action,0.13,0.04,0.0,0.01,63.0,7.6,T,Van Helsing_XB_Action_2007,0.18000000000000002
Grand Slam Tennis 2,X360,2012,Sports,0.1,0.06,0.0,0.02,71.0,5.1,E,Grand Slam Tennis 2_X360_Sports_2012,0.18
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,0.1,0.06,0.0,0.02,51.0,5.3,E10+,Ben 10 Ultimate Alien: Cosmic Destruction_X360_Platform_2010,0.18
Pure Futbol,X360,2010,Sports,0.08,0.08,0.0,0.02,38.0,7.9,E,Pure Futbol_X360_Sports_2010,0.18
Spider-Man: Friend or Foe,PSP,2007,Action,0.16,0.0,0.0,0.01,58.0,4.4,E10+,Spider-Man: Friend or Foe_PSP_Action_2007,0.17
Sing4: The Hits Edition,Wii,2011,Misc,0.17,0.0,0.0,0.01,,,T,Sing4: The Hits Edition_Wii_Misc_2011,0.18000000000000002
Gun,GC,2005,Shooter,0.14,0.04,0.0,0.0,77.0,8.6,M,Gun_GC_Shooter_2005,0.18000000000000002
SoulCalibur Legends,Wii,2007,Action,0.16,0.01,0.0,0.01,52.0,5.7,T,SoulCalibur Legends_Wii_Action_2007,0.18000000000000002
Rio,Wii,2011,Misc,0.13,0.03,0.0,0.01,,,E10+,Rio_Wii_Misc_2011,0.17
F1 Challenge,SAT,1994,Racing,0.0,0.0,0.18,0.0,,,,F1 Challenge_SAT_Racing_1994,0.18
Squeeballs Party,Wii,2009,Puzzle,0.17,0.0,0.0,0.01,59.0,,E10+,Squeeballs Party_Wii_Puzzle_2009,0.18000000000000002
Metal Gear Ac!d 2,PSP,2005,Strategy,0.11,0.0,0.05,0.01,,,,Metal Gear Ac!d 2_PSP_Strategy_2005,0.17
Shadow Madness,PS,1999,Action,0.1,0.07,0.0,0.01,,,,Shadow Madness_PS_Action_1999,0.18000000000000002
Aliens: Colonial Marines,PC,2013,Shooter,0.1,0.06,0.0,0.02,45.0,3.5,M,Aliens: Colonial Marines_PC_Shooter_2013,0.18
Tiger Woods PGA Tour 2004,GBA,2003,Sports,0.13,0.05,0.0,0.0,75.0,7.5,E,Tiger Woods PGA Tour 2004_GBA_Sports_2003,0.18
The Game of Life / Yahtzee / Payday,GBA,2005,Misc,0.13,0.05,0.0,0.0,,,,The Game of Life / Yahtzee / Payday_GBA_Misc_2005,0.18
FIFA Soccer 11,PC,2010,Sports,0.0,0.14,0.0,0.04,83.0,7.7,E,FIFA Soccer 11_PC_Sports_2010,0.18000000000000002
American Chopper 2: Full Throttle,PS2,2005,Racing,0.09,0.07,0.0,0.02,,8.1,T,American Chopper 2: Full Throttle_PS2_Racing_2005,0.18
Borderlands,PC,2009,Shooter,0.01,0.14,0.0,0.03,81.0,7.8,M,Borderlands_PC_Shooter_2009,0.18000000000000002
de Blob 2,Wii,2011,Platform,0.11,0.06,0.0,0.02,79.0,8.1,E10+,de Blob 2_Wii_Platform_2011,0.18999999999999997
Silent Hill 4: The Room,XB,2004,Action,0.14,0.04,0.0,0.01,76.0,8.3,M,Silent Hill 4: The Room_XB_Action_2004,0.19000000000000003
Commandos 2: Men of Courage,PS2,2002,Strategy,0.09,0.07,0.0,0.02,67.0,6.8,T,Commandos 2: Men of Courage_PS2_Strategy_2002,0.18
Remember Me,X360,2013,Action,0.1,0.06,0.0,0.02,70.0,7.5,M,Remember Me_X360_Action_2013,0.18
Brink,PC,2011,Shooter,0.06,0.09,0.0,0.03,70.0,6.0,T,Brink_PC_Shooter_2011,0.18
FIFA Soccer 2002,GC,2001,Sports,0.14,0.04,0.0,0.0,81.0,8.0,E,FIFA Soccer 2002_GC_Sports_2001,0.18000000000000002
Pro Evolution Soccer 2013,3DS,2012,Sports,0.05,0.02,0.1,0.01,,,,Pro Evolution Soccer 2013_3DS_Sports_2012,0.18000000000000002
Atari Anniversary Edition Redux,PS,2000,Misc,0.1,0.07,0.0,0.01,72.0,,E,Atari Anniversary Edition Redux_PS_Misc_2000,0.18000000000000002
Lips: Party Classics,X360,2010,Misc,0.05,0.11,0.0,0.02,69.0,,T,Lips: Party Classics_X360_Misc_2010,0.18
Toukiden: The Age of Demons,PSP,2013,Action,0.0,0.0,0.18,0.0,,,,Toukiden: The Age of Demons_PSP_Action_2013,0.18
Fireblade,PS2,2002,Action,0.09,0.07,0.0,0.02,,,,Fireblade_PS2_Action_2002,0.18
Disney's Tarzan Untamed,GC,2001,Platform,0.14,0.04,0.0,0.0,61.0,7.4,E,Disney's Tarzan Untamed_GC_Platform_2001,0.18000000000000002
Brunswick Circuit Pro Bowling,PS,1998,Sports,0.1,0.07,0.0,0.01,,,,Brunswick Circuit Pro Bowling_PS_Sports_1998,0.18000000000000002
Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,0.14,0.03,0.0,0.01,,,E10+,Marvel Super Hero Squad: Comic Combat_Wii_Action_2011,0.18000000000000002
Trinity Universe,PS3,2009,Role-Playing,0.07,0.05,0.03,0.02,62.0,7.2,T,Trinity Universe_PS3_Role-Playing_2009,0.17
Payday 2,XOne,2015,Shooter,0.09,0.07,0.0,0.02,,,,Payday 2_XOne_Shooter_2015,0.18
Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,0.08,0.08,0.0,0.02,,,E,Pirates: Hunt For Blackbeard's Booty_Wii_Adventure_2008,0.18
Cabela's Dangerous Hunts 2009,PS2,2008,Sports,0.09,0.07,0.0,0.02,,9.2,T,Cabela's Dangerous Hunts 2009_PS2_Sports_2008,0.18
Senran Kagura: Estival Versus,PS4,2015,Action,0.08,0.0,0.08,0.02,67.0,8.0,M,Senran Kagura: Estival Versus_PS4_Action_2015,0.18
Ball Breakers,PS,2000,Action,0.1,0.07,0.0,0.01,68.0,5.3,E,Ball Breakers_PS_Action_2000,0.18000000000000002
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,0.0,0.0,0.18,0.0,,,,Mobile Suit Gundam Seed Destiny: Generation of C.E._PS2_Action_2005,0.18
Splatterhouse,X360,2010,Action,0.14,0.03,0.0,0.01,62.0,7.6,M,Splatterhouse_X360_Action_2010,0.18000000000000002
EyeToy: Groove,PS2,2003,Misc,0.09,0.07,0.0,0.02,73.0,8.0,E,EyeToy: Groove_PS2_Misc_2003,0.18
You Don't Know Jack,PS3,2011,Misc,0.16,0.0,0.0,0.01,82.0,7.3,T,You Don't Know Jack_PS3_Misc_2011,0.17
Chuck E. Cheese's Party Games,DS,2010,Misc,0.17,0.0,0.0,0.01,,,E,Chuck E. Cheese's Party Games_DS_Misc_2010,0.18000000000000002
Charlie and the Chocolate Factory,GC,2005,Adventure,0.14,0.04,0.0,0.0,39.0,3.2,E,Charlie and the Chocolate Factory_GC_Adventure_2005,0.18000000000000002
Armored Core: Last Raven,PS2,2005,Simulation,0.05,0.04,0.08,0.01,59.0,8.9,T,Armored Core: Last Raven_PS2_Simulation_2005,0.18
Burnout Legends,DS,2005,Racing,0.15,0.02,0.0,0.01,38.0,6.0,E,Burnout Legends_DS_Racing_2005,0.18
Tomb Raider: Underworld,PS2,2009,Action,0.09,0.04,0.0,0.05,,5.8,T,Tomb Raider: Underworld_PS2_Action_2009,0.18
College Hoops 2K7,PS3,2007,Sports,0.16,0.0,0.0,0.01,81.0,7.1,E,College Hoops 2K7_PS3_Sports_2007,0.17
Hello Kitty: Birthday Adventures,DS,2010,Adventure,0.06,0.1,0.0,0.02,,,E,Hello Kitty: Birthday Adventures_DS_Adventure_2010,0.18
All Grown Up! Express Yourself,GBA,2004,Misc,0.13,0.05,0.0,0.0,,,,All Grown Up! Express Yourself_GBA_Misc_2004,0.18
Escape The Museum,DS,2010,Adventure,0.04,0.12,0.0,0.02,,,E,Escape The Museum_DS_Adventure_2010,0.18
K-1 World Grand Prix,PS2,2002,Sports,0.04,0.03,0.1,0.01,67.0,9.0,T,K-1 World Grand Prix_PS2_Sports_2002,0.18000000000000002
Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,0.0,0.0,0.18,0.0,,,,Kidou Senshi Gundam: Senjou no Kizuna Portable_PSP_Strategy_2009,0.18
Super Robot Taisen A Portable,PSP,2008,Strategy,0.0,0.0,0.18,0.0,,,,Super Robot Taisen A Portable_PSP_Strategy_2008,0.18
Juiced,XB,2005,Racing,0.13,0.04,0.0,0.01,68.0,9.1,T,Juiced_XB_Racing_2005,0.18000000000000002
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,0.11,0.01,0.05,0.01,38.0,3.0,E10+,Naruto Shippuden: Dragon Blade Chronicles_Wii_Action_2009,0.18
Looney Tunes: Back in Action,GBA,2003,Platform,0.13,0.05,0.0,0.0,47.0,,E,Looney Tunes: Back in Action_GBA_Platform_2003,0.18
Shaun White Skateboarding,Wii,2010,Sports,0.13,0.03,0.0,0.01,59.0,,E10+,Shaun White Skateboarding_Wii_Sports_2010,0.17
DiRT Showdown,PS3,2012,Racing,0.02,0.12,0.0,0.03,75.0,6.3,E10+,DiRT Showdown_PS3_Racing_2012,0.16999999999999998
Virtua Tennis,GBA,2002,Sports,0.13,0.05,0.0,0.0,83.0,,E,Virtua Tennis_GBA_Sports_2002,0.18
Cabela's Big Game Hunter: Hunting Party,X360,2011,Sports,0.16,0.0,0.0,0.02,,5.0,,Cabela's Big Game Hunter: Hunting Party_X360_Sports_2011,0.18
Tales of the Tempest,DS,2006,Role-Playing,0.0,0.0,0.18,0.0,,,,Tales of the Tempest_DS_Role-Playing_2006,0.18
SimCity Creator (JP sales),DS,2008,Simulation,0.0,0.0,0.18,0.0,,,,SimCity Creator (JP sales)_DS_Simulation_2008,0.18
Biohazard: Revival Selection,PS3,2011,Action,0.0,0.0,0.18,0.0,,,,Biohazard: Revival Selection_PS3_Action_2011,0.18
Sonic Riders: Zero Gravity,PS2,2008,Racing,0.09,0.07,0.0,0.02,56.0,8.3,E,Sonic Riders: Zero Gravity_PS2_Racing_2008,0.18
UFC: Sudden Impact,PS2,2004,Fighting,0.09,0.07,0.0,0.02,54.0,7.7,T,UFC: Sudden Impact_PS2_Fighting_2004,0.18
NBA Hoopz,PS2,2001,Sports,0.09,0.07,0.0,0.02,63.0,,E,NBA Hoopz_PS2_Sports_2001,0.18
ESPN X Games Skateboarding,GBA,2001,Sports,0.13,0.05,0.0,0.0,,,E,ESPN X Games Skateboarding_GBA_Sports_2001,0.18
Nancy Drew: The Hidden Staircase,DS,2008,Adventure,0.16,0.0,0.0,0.01,,6.0,E,Nancy Drew: The Hidden Staircase_DS_Adventure_2008,0.17
Speedball 2100,PS,2000,Sports,0.1,0.07,0.0,0.01,60.0,,E,Speedball 2100_PS_Sports_2000,0.18000000000000002
Full Auto 2: Battlelines,PS3,2006,Racing,0.14,0.02,0.0,0.02,67.0,7.6,T,Full Auto 2: Battlelines_PS3_Racing_2006,0.18
College Hoops 2K8,X360,2007,Sports,0.16,0.0,0.0,0.01,81.0,6.9,E,College Hoops 2K8_X360_Sports_2007,0.17
LEGO Island 2: The Brickster's Revenge,PS,2001,Adventure,0.1,0.07,0.0,0.01,,,,LEGO Island 2: The Brickster's Revenge_PS_Adventure_2001,0.18000000000000002
How to Train Your Dragon,PS3,2010,Action,0.12,0.03,0.0,0.02,51.0,7.0,E10+,How to Train Your Dragon_PS3_Action_2010,0.16999999999999998
Backyard Basketball,GBA,2004,Sports,0.13,0.05,0.0,0.0,,,E,Backyard Basketball_GBA_Sports_2004,0.18
Madden NFL 09,XB,2008,Sports,0.13,0.04,0.0,0.01,,5.5,E,Madden NFL 09_XB_Sports_2008,0.18000000000000002
Dynasty Warriors: Gundam 3,X360,2010,Action,0.11,0.03,0.02,0.01,65.0,7.8,T,Dynasty Warriors: Gundam 3_X360_Action_2010,0.17
Scooby-Doo! Unmasked,GBA,2005,Platform,0.13,0.05,0.0,0.0,,,,Scooby-Doo! Unmasked_GBA_Platform_2005,0.18
Summon Night 4,PS2,2006,Role-Playing,0.0,0.0,0.18,0.0,,,,Summon Night 4_PS2_Role-Playing_2006,0.18
NHL 2004,XB,2003,Sports,0.13,0.04,0.0,0.01,85.0,6.5,E,NHL 2004_XB_Sports_2003,0.18000000000000002
Pro Yaky? Spirits 5,PS2,2008,Sports,0.0,0.0,0.18,0.0,,,,Pro Yaky? Spirits 5_PS2_Sports_2008,0.18
Back to the Future: The Game,PS4,2015,Adventure,0.1,0.05,0.0,0.03,,7.1,T,Back to the Future: The Game_PS4_Adventure_2015,0.18000000000000002
